Lemma,Grundform
Leute,"['Abendmahlleute', 'Abendmahlsleute', 'Allerweltsleute', 'Armeleutesholz', 'Armeleuteskuh', 'Beerenleute', 'Beerleute', 'Beerleutlein', 'Beichtleute', 'Bettelleute', 'Bittleute', 'Brautleute', 'Dampferleute', 'Dorfleute', 'Dreschleute', 'Freundesleute', 'Fronleute', 'Geschäftsleute', 'Gevatterleute', 'Gevattersleute', 'Guckleute', 'Gäuleute', 'Handelsleute', 'Hausleute', 'Heidelbeerleute', 'Hemdenleute', 'Hemdenleuter', 'Herrenleute', 'Hochzeitleute', 'Hochzeitsleute', 'Häusleinleute', 'Kaufleute', 'Kirchweihleute', 'Kramleute', 'Krempelleute', 'Kutterleute', 'Landsleute', 'Maintalleute', 'Mannleute', 'Mannsleute', 'Marktleute', 'Maschinenleute', 'Messleute', 'Micheleinsleute', 'Männerleut', 'Männerleute', 'Müllleute', 'Nachbarleute', 'Nachbarsleute', 'Nachtmahler', 'Prozessionsleute', 'Ramschleute', 'Schuttkübelleerer', 'Schuttleute', 'Schwarzbeerleute', 'Schwähersleute', 'Stadtleute', 'Standleute', 'Standlleute', 'Strohleute', 'Ständleinsleute', 'Taglerleute', 'Taglersleute', 'Waldleute', 'Wallersleute', 'Wallleute', 'Weiberleut', 'Weiberleute', 'Weibersleute', 'Weibleute', 'Weibsleute']"
Mutter,"['Abendmutter', 'Bärmutter', 'Dockenmutter', 'Fischmutter', 'Großemutter', 'Großmutter', 'Hasenmutter', 'Heckenmutter', 'Heckmutter', 'Karpfenmutter', 'Katzenmutter', 'Kindsmutter', 'Klagemutter', 'Klagmutter', 'Klagmütterlein', 'Kuppelmutter', 'Laichmutter', 'Laufmutter', 'Puffmutter', 'Puppenmutter', 'Schlagmutter', 'Schweinsmutter', 'Schwiegermutter']"
schmausen,"['Abendschmaus', 'Abschnittsschmaus', 'Ernteschmaus', 'Festschmaus', 'Kindleinskirchweihschmaus', 'Kindskirchweihschmaus', 'Kindskirmesschmaus', 'Kindsschenkschmaus', 'Kindsschmaus', 'Kindstaufschmaus', 'Kindstaufsschmaus', 'Kirchschmaus', 'Patenschmaus', 'Stopferschmaus', 'Taufschmaus']"
Stück,"['Abendstück', 'Abendstücken', 'Ackerstück', 'Ausraufstück', 'Backesstückchen', 'Brautstück', 'Brotstücklein', 'Dengelstücklein', 'Eckstück', 'Erbstück', 'Erdäpfelstücklein', 'Erntestück', 'Extrastück', 'Frühstück', 'Frühstückel', 'Gewendstück', 'Goldstück', 'Goldstücklein', 'Grundbirnenstück', 'Grundbirnenstückchen', 'Grundstück', 'Hackstück', 'Hefestückchen', 'Kartoffelstück', 'Kartoffelstücker', 'Knallstück', 'Kniestück', 'Krautstück', 'Kunststück', 'Kunststücklein', 'Langholzstück', 'Magenstücklein', 'Marktstück', 'Meisterstück', 'Mordsweibsstück', 'Mundstück', 'Museumsstück', 'Möbelstück', 'Pflanzstück', 'Plumpstück', 'Randstück', 'Rasenstück', 'Rauchstück', 'Reibigstücklein', 'Sattelstück', 'Schaustück', 'Schinkenstück', 'Schlotstück', 'Schneidstück', 'Schnitterntestück', 'Schokoladenstücklein', 'Schulfrühstücklein', 'Seitenstück', 'Seitenstücklein', 'Semmelstückel', 'Staatsstück', 'Stammstück', 'Stolperstücklein', 'Stutenstück', 'Vesperstück', 'Vorstück', 'Wasenstück', 'Weibsstück', 'Wetzstücklein', 'Zuckerstücklein', 'Zweitfrühstück']"
Suppe,"['Abendsuppe', 'Allerleisuppe', 'Batzensuppe', 'Biersuppe', 'Bohnensuppe', 'Brammelsuppe', 'Brautsuppe', 'Brotsuppe', 'Brotzelsuppe', 'Brummelsuppe', 'Brämmelsuppe', 'Buttersuppe', 'Drecksuppe', 'Einlaufsuppe', 'Erdäpfelsuppe', 'Fleischsuppe', 'Froschlaichsuppe', 'Frühsuppe', 'Gemüsesuppe', 'Gerstelsuppe', 'Gerstengrützesuppe', 'Gerstengrützsuppe', 'Gerstensuppe', 'Gerstleinssuppe', 'Gerstleinsuppe', 'Geschmälzsuppe', 'Graupelnsuppe', 'Graupelsuppe', 'Graupensuppe', 'Griebensuppe', 'Grießsuppe', 'Grindelsuppe', 'Grützensuppe', 'Grützsuppe', 'Kaffeesuppe', 'Kindbettsuppe', 'Klößsuppe', 'Krautschnittleinsuppe', 'Kälberkernsuppe', 'Kälberzähnesuppe', 'Mahdersuppe', 'Mahdesuppe', 'Mehlbrennsuppe', 'Mehlsuppe', 'Metzelsuppe', 'Milchsuppe', 'Nachtsuppe', 'Neunkräuterleinsuppe', 'Nudelsuppe', 'Omelettsuppe', 'Rachsuppe', 'Raingerstensuppe', 'Röhrsuppe', 'Sagsuppe', 'Schneegesupp', 'Schneesuppe', 'Schrotsuppe', 'Semmelsuppe', 'Spintsuppe', 'Traumsuppe', 'Wassersuppe', 'Weifsuppe', 'Wurstsuppefett', 'Würstsuppenfett']"
Vesper,"['Abendvesper', 'Frühvesper', 'Nachmittagsvesper', 'Nachmittagvesper', 'Pausenvesper', 'Schulvesper', 'Schulvesperlein', 'Vormittagvesper']"
glauben,"['Aberglauben', 'Ahnferleinsglaube']"
Grummet,"['Abergrummet', 'Aftergrummet', 'Herbstgrummet', 'Nachgrummet', 'Nochmalgrummet', 'Zweitgrummet']"
Saat,"['Abersaat', 'Aftersaat', 'Ansaat', 'Breitsaat', 'Doppelsaat', 'Drillsaat', 'Einsaat', 'Frischeinsaat', 'Frühjahrssaat', 'Grassaat', 'Grünlandeinsaat', 'Hacksaat', 'Hafersaat', 'Handsaat', 'Herbstsaat', 'Laufsaat', 'Magsaat', 'Maschinensaat', 'Nachsaat', 'Neigsaat', 'Neuaussaat', 'Neusaat', 'Obersaat', 'Stoppelsaat', 'Stupfelsaat', 'Untersaat', 'Wintersaat', 'Zweitsaat', 'Zwiesaat', 'Zwischensaat', 'Übersaat']"
fahren,"['Abfahrt', 'Ackerfuhre', 'Bachfuhre', 'Bauchfahren', 'Bauchrutschfahren', 'Bierfahrer', 'Bierwägeleinfahrer', 'Binsenfuhre', 'Bittfuhre', 'Brautfuhr', 'Brautfuhre', 'Bräutfuhr', 'Bräutfuhre', 'Dreckfahrer', 'Durchfuhre', 'Einfuhre', 'Eingefahrene', 'Erdbirnfuhre', 'Fahret', 'Fahrradfahren', 'Fahrt', 'Fuhre', 'Getreidefuhre', 'Gäulsfuhre', 'Heufahren', 'Heufuhr', 'Heufuhre', 'Hohlfuhre', 'Holzfuhre', 'Kammerwagenfahren', 'Kehrichtfahrer', 'Kreuzfuhre', 'Kübelfahrer', 'Kühfuhre', 'Langholzfuhrwerk', 'Marktfahrer', 'Maschinenfahrer', 'Mistfahren', 'Mistfuhre', 'Mordsfuhre', 'Müllabfuhr', 'Müllabfuhrer', 'Müllabfuhrerer', 'Müllfahrer', 'Ochsenfuhre', 'Radfahren', 'Radfahrer', 'Radleinfahren', 'Randausfahrer', 'Rangeleinsfuhre', 'Rumpelfuhre', 'Schlittenfahren', 'Schlittschuhefahren', 'Schlittschuhfahren', 'Schubkarrensfuhre', 'Schuttfahrer', 'Schüttfahrer', 'Stammfuhrwek', 'Strohfahrer', 'Strohfuhre', 'Wagenradfahren', 'Waldfuhre', 'Wallfahrer', 'Wasserfuhre', 'Wiesenfuhre', 'Zelgfuhre', 'Zusammengefahrene']"
