Lemma,Grundform
drücken,"['Abdruck', 'Andruck', 'Ausdruck', 'Drücker', 'Eindruck', 'Grundbirnendrücker', 'Hinterdrückstmich', 'Stopferdrücker', 'abdrücken', 'abgedrückt', 'andrücken', 'aufdrücken', 'ausdrücken', 'ausdrücken, sich', 'ausdrücklich', 'drucksen', 'drückebergern', 'durchdrücken', 'durchdrücken, sich', 'eindrücken', 'erdrücken', 'gedruckt', 'gedrückt', 'herunterdrücken', 'hindrücken', 'unterdrücken', 'unterdrückt', 'verdrücken', 'verdrücken, sich', 'zerdrücken', 'zerdrückt', 'zusammendrücken']"
Datsch,"['Abdätschig', 'Apfeldätscher', 'Bettelmannsdatsch', 'Brotdatscher', 'Datsche', 'Datscher', 'Ditscher', 'Dotsche', 'Dutsche', 'Dutscher', 'Dätsche', 'Dätscher', 'Dütsche', 'Erdbirndatsche', 'Erdbirnendatsche', 'Erdäpfeldätsch', 'Erdäpfelsdotsche', 'Erdäpfelsdätsch', 'Erdäpfelsdätsche', 'Erdäpfelsdätscher', 'Gedatschte', 'Grundbirndatsche', 'Grundbirnendatsche', 'Grundbirnendatscher', 'Kartoffeldatsche', 'Kartoffeldatscher', 'Kartoffeldätscher', 'Kartoffelsdätscher', 'Luckidätsche', 'Reibdatsche', 'Reibedatsch', 'Reibedotsch', 'Reibedätsche', 'Reibedätscher', 'Reiberdatsch', 'Reiberdatsche', 'Reiberdatscher', 'Reiberdätsch', 'Rohe Dütschlein', 'Wasserdatsche', 'derdatscht', 'dätschig']"
Futter,"['Abendfüttern', 'Abfüttern', 'Beifutter', 'Einfuttern', 'Einfüttern', 'Futterage', 'Füttergrundbirne', 'Füttering', 'Füttern', 'Fütterung', 'Gemischtfutter', 'Infütter', 'Ingefutter', 'Ingefütter', 'Nassfütterung', 'Reitfutter', 'Saufutterage', 'Säufutterage', 'Trockenfütterung', 'Unterfutter', 'Vorfutter', 'Weichfütterung', 'Zusatzfutter', 'abendfüttern', 'abfüttern', 'anfuttern', 'ausfuttern', 'einfuttern', 'eingeweichtes Futter', 'fettfüttern', 'futtern', 'füttern', 'gefüttert', 'geknietschtes Futter', 'kuhfüttern', 'kühfüttern', 'stallfüttern', 'verfüttern', 'verfüttert', 'viehfüttern', 'zusammengemachtes Futter']"
Abend,"['Abendmahlengast', 'auf Abend', 'zu Abend']"
Mahl,"['Abendmahler', 'Abendmahlgehner', 'Abschneidersmahl', 'Abschneidmahl', 'Nachtmahlleite', 'Nachtmahlsgast', 'abendmahlgehen']"
gehen,"['Abendmahlgeher', 'Abgang', 'Ausgeher', 'Bittgänger', 'Blindgänger', 'Draufgeher', 'Draufgänger', 'Durchgang', 'Ebengänger', 'Einzelgänger', 'Fortgehen', 'Fremdgeher', 'Fremdgänger', 'Gehörgang', 'Hergehiger', 'Hingehwärts', 'Kiltgeher', 'Kirchgänger', 'Losgänger', 'Marktgeher', 'Marktgänger', 'Nebenhinausgeher', 'Nebenhinausgehner', 'Umgang', 'Umgeher', 'Umgänger', 'Wallgänger', 'Widergang', 'Zugegangener', 'Zusammengegangene', 'abgehen', 'abgängig', 'an jemanden gehen', 'angegangen', 'angehen', 'auf Christkindlein zugehen', 'auf Grawitschko gehen', 'auf Weihnachten zugehen', 'auf den Herbst darauf zugehen', 'auf den Herbst hineingehen', 'auf den Herbst zugehen', 'auf den Leim gehen', 'aufeinandergehen', 'aufgehen', 'aufgehen lassen', 'aufwärtsgehen', 'auseinandergehen', 'ausgegangen', 'ausgehen', 'außenherumgehen', 'begehen', 'beigehen', 'bergeingehen', 'dem Ende zugehen', 'dem Geschirr hinein gehen', 'dergehen', 'durcheinandergehen', 'durchgehen', 'eingegangen', 'eingehen', 'entgehen', 'entzweigehen', 'fort gehen', 'fortgehen', 'gegen den Herbst gehen', 'geh', 'geh zu', 'gehen (in Fügung: auf die Seite gehen', 'gehen, über', 'gesät', 'gängig', 'hergehen', 'herumgehnet', 'herumgängstern', 'heruntergehen', 'hin- und hergehen', 'hinausgehen lassen', 'hingehen', 'hingehwärts', 'hininternach gehen', 'hinten hineingehen', 'hintennach gehen', 'hinterdrein gehen', 'hintergehen', 'hinterher gehen', 'hinternach gehen', 'hinuntgehen', 'in das Pissen gehen', 'in den Herbst eingehen', 'in den Herbst hineingehen', 'in den Stall gehen', 'in den Strang gehen', 'in den Winter zugehen', 'in die Stränge gehen', 'ins Geschirr gehen', 'ins Geschirr hinein gehen', 'ins Zeug gehen', 'irregehen', 'irrgehen', 'kurzgängig', 'losgehen', 'mitgehen', 'nach hause gehen', 'nachgehen', 'umeinander gehen', 'umeinandergehen', 'umgehen', 'umgehend', 'ungerade gehen', 'unrecht gehen', 'untergehen', 'vergangen', 'vergehen', 'vergänglich', 'vorgehen', 'vorwärtsgehen', 'weggehen', 'zergehen', 'zueinander hinangehen', 'zugehen', 'zugehen auf', 'zum Bullen gehen', 'zurückgehen', 'zurückgehen lassen', 'zusammengegangen', 'zusammengehen']"
Gast,"['Abendmahlsgäste', 'Nachtmahlsgäste', 'Ungast']"
Leute,"['Abendsmahlleute', 'Becken-Leute', 'Beerleute', 'Beichtleute', 'Bettelleute', 'Hemdenleuter', 'Leuteverärgerer', 'Nachtmahler', 'Nachtmahlleute', 'Schuttkübelleerer', 'leutlich', 'leutselig']"
Stück,"['Abendstücken', 'Ausraufstück', 'Bekleidungsstück', 'Erbstück', 'Gewendstück', 'Grundbirnenstücke', 'Kartoffelstücker', 'Stücker', 'Vorstück', 'abendstücken', 'frühstücken', 'gebratene Grundbirnenstücke', 'in Stücklein', 'stücken']"
glauben,"['Aberglauben', 'Ahnferleinsglaube', 'Gläubige']"
Grummet,"['Abergrummet', 'Aftergrummet', 'Afterig-Grummet', 'Grummet, aus einer Mulde', 'Nachgrummet', 'Nachgrummet, das']"
Saat,"['Abersaat', 'Absaat', 'Aftersaat', 'Ansaat', 'Einsaat', 'Nachsaat', 'Sä-Erdäpfel', 'Untersaat', 'Zwischensaat', 'erste Saat']"
