Lemma,Grundform
stecken,"['Achssteckerlein', 'Ansteckerlein', 'Armsteckelein', 'Armsteckerlein', 'Feuersteckelein', 'Feuerzeugstecklein', 'Garbensteckelein', 'Gesteckel', 'Gestecklein', 'Gäustickel', 'Handsteckelein', 'Handsteckerlein', 'Nabesteckerlein', 'Pflugsteckerlein', 'Radsteckerlein', 'Ringsteckerlein', 'Schwefelsteckelein', 'Steckel', 'Steckerl', 'Steckerlein', 'Stiefelsteckerlein', 'Streichholzsteckelein', 'Wagensteckerlein', 'Zündsteckelchen', 'Zündsteckelein', 'Übersteckerlein']"
Stiefel,"['Achsstiefelein', 'Leuchsenstiefelein', 'Radstiefelein', 'Stiefelein', 'Stieferl']"
Stock,"['Achsstöckel', 'Allerheiligenstöcklein', 'Allerseelenstöcklein', 'Bildstöckel', 'Bremsstöckel', 'Bremsstöcklein', 'Dengelstöckchen', 'Dengelstöckel', 'Dengelstöcklein', 'Drehsperrstöcklein', 'Erdbirnstöcklein', 'Feilsperrstöckel', 'Garbenstöcklein', 'Keilstöcklein', 'Kipfstöcklein', 'Kippstöckel', 'Maistöcklein', 'Milchstöcklein', 'Nägeleinsstöcklein', 'Pumpenstöckel', 'Pumpenstöcklein', 'Rahmstöcklein', 'Rohrstöcklein', 'Rosenstöcklein', 'Schleifholzstöcklein', 'Schleifscheitstöcklein', 'Schleifstöckel', 'Schleifstöckelein', 'Schleifstöcklein', 'Schlittenstöcklein', 'Schröpferstöcklein', 'Stöckchen', 'Stöckel', 'Stöckelein', 'Stöcklein', 'Windenstöckel', 'Windenstöcklein', 'Windstöckel']"
acht,"['Achtel', 'Achtelein']"
Acker,"['Ackerl', 'Ackerlein', 'Baumackerlein', 'Geißäckerl', 'Hasenackerlein', 'Pfaffenäckerlein', 'Sandäckerlein', 'Scheißäckerlein', 'Spitzackerl', 'Spitzackerlein', 'Steinäckerlein', 'Zackerei', 'Zwergäckerlein', 'Äckerchen', 'Äckerl', 'Äckerlein']"
Rain,"['Ackerrainlein', 'Erdbirnleinrainlein', 'Grundbirnenrainlein', 'Grundbirnleinrainlein', 'Grundbirnrainlein', 'Kartoffelrainlein', 'Rainel', 'Rainlein', 'Seichrainlein']"
Reute,"['Ackerreutel', 'Pflugsreutel', 'Schorreutel']"
Stein,"['Ackersteinchen', 'Ackersteinlein', 'Backsteinlein', 'Feuersteinlein', 'Kieselsteinlein', 'Riechsteinlein', 'Schreibsteinlein', 'Stei', 'Steinlein', 'Steinrutschen', 'Wetzsteindüppel']"
Zipfel,"['Ackerzipfelein', 'Bleichzipfelein']"
Butz,"['Adamsbützel', 'Adamsbützlein', 'Apfelbützlein', 'Apfelsbützlein', 'Birnenbützel', 'Bitzel', 'Borzelein', 'Butzel', 'Butzelein', 'Butzelmockerlein', 'Butzenstiel', 'Butzerl', 'Butziglein', 'Butzlein', 'Bützel', 'Bützelein', 'Bützerlein', 'Bützigkörblein', 'Bütziglein', 'Bützlein', 'Erdbirnbützel', 'Erdbirnenbutzel', 'Erdbirnenbützel', 'Fichtenbutzel', 'Fichtenbutzelein', 'Geborzel', 'Gebutzel', 'Gebörzel', 'Gebützel', 'Gebützlein', 'Gemüsbutzel', 'Gemüsebutzel', 'Haferbutzelein', 'Herzbützelein', 'Kuhbutzel', 'Kühbutzel', 'Mehlbutzlein', 'Nestbutzel', 'Ofenbutzelein', 'Schnuckebutzi', 'Schnuckibutzi', 'Schulbutzelein', 'Tannenbutzel', 'Tannenbutzelein', 'Tatzenbutzel']"
